,0,1,2,3,4,5
1056,2020-03-09 12:00:00,126.246,127.78614,125.90002,127.37396,3358190
1055,2020-03-09 12:15:00,127.324,128.398,126.642,127.285,2373820
1054,2020-03-09 12:30:00,127.366,127.484,126.0,126.222,1507535
1053,2020-03-09 12:45:00,126.28,127.594,126.0753,126.97388,1716465
1052,2020-03-09 13:00:00,126.95,127.996,126.6,126.812,1824770
1051,2020-03-09 13:15:00,126.796,127.808,126.604,127.57732,1627080
1050,2020-03-09 13:30:00,127.628,127.628,126.0,126.168,1559025
1049,2020-03-09 13:45:00,126.086,126.167,124.792,125.154,2848580
1048,2020-03-09 14:00:00,125.184,125.9,123.70412,123.944,2473515
1047,2020-03-09 14:15:00,124.1,124.53,123.05202,124.492,1941930
1046,2020-03-09 14:30:00,124.498,125.23446,123.212,123.53492,2344635
1045,2020-03-09 14:45:00,123.502,124.39998,122.466,123.2332,2424090
1044,2020-03-09 15:00:00,123.17052,124.79,122.718,124.002,1919910
1043,2020-03-09 15:15:00,124.08134,125.0,123.002,123.006,2386720
1042,2020-03-09 15:30:00,123.076,123.81598,122.64002,122.926,2787500
1041,2020-03-09 15:45:00,122.982,123.506,122.2,123.148,2586110
1040,2020-03-09 16:00:00,123.13168,123.7,121.292,121.292,4759090
1039,2020-03-09 16:15:00,121.202,122.758,121.2,121.6,215315
1038,2020-03-09 16:30:00,122.596,122.796,122.0,122.024,102435
1037,2020-03-09 16:45:00,122.04,122.108,121.3,121.502,228720
1036,2020-03-09 17:00:00,121.506,121.506,120.6,120.65,137490
1035,2020-03-09 17:15:00,120.686,121.6,120.402,120.656,52085
1034,2020-03-09 17:30:00,120.8,120.8,120.4,120.4,29060
1033,2020-03-09 17:45:00,120.39798,120.48,120.28002,120.4,40570
1032,2020-03-09 18:00:00,120.396,120.736,120.216,120.736,53125
1031,2020-03-09 18:15:00,120.598,120.598,120.0,120.1,65335
1030,2020-03-09 18:30:00,120.004,120.76,120.002,120.552,80790
1029,2020-03-09 18:45:00,120.74,121.0,120.4,120.85,48380
1028,2020-03-09 19:00:00,120.762,124.0,120.76,124.0,114025
1027,2020-03-09 19:15:00,124.0,126.98998,123.9,126.0,337925
1026,2020-03-09 19:30:00,126.0,126.6,125.986,126.43002,68510
1025,2020-03-09 19:45:00,126.6,126.934,126.08,126.93,115825
1024,2020-03-09 20:00:00,126.998,127.976,126.7,127.16,182195
1023,2020-03-10 04:15:00,128.662,130.6,128.002,129.2,107055
1022,2020-03-10 04:30:00,129.0,130.166,129.0,129.74,38660
1021,2020-03-10 04:45:00,129.98,130.4,129.98,130.2,21560
1020,2020-03-10 05:00:00,130.06,130.368,130.0,130.32,10695
